TS=2908374831,TJ=2907848174
TS=3092523331,TJ=3092119887
TS=2956277919,TJ=2955906283
TS=58410266,TJ=58012080
TS=57639923,TJ=57234405
TS=57097667,TJ=56695699
TS=56991210,TJ=56601767
TS=2794567324,TJ=2794150979
TS=28737169,TJ=28330578
TS=30571806,TJ=30011752
TS=54616778,TJ=54180417
TS=2669150202,TJ=2668707360
TS=51769311,TJ=51374179
TS=2757051959,TJ=2756623224
TS=55729464,TJ=55320994
TS=54442360,TJ=54043206
TS=2864085411,TJ=2863644051
TS=2863407811,TJ=2862991445
TS=2978306833,TJ=2977865758
TS=3078761374,TJ=3078335262
TS=2878587842,TJ=2878162555
TS=2866401467,TJ=2865965219
TS=2871807435,TJ=2871444390
TS=52724717,TJ=52337957
TS=3001162253,TJ=3000755584
TS=56026389,TJ=55611136
TS=54693989,TJ=54239884
TS=2792772018,TJ=2792150033
TS=2938179924,TJ=2937759624
TS=2897969551,TJ=2897549118
TS=55901847,TJ=55503836
TS=55493170,TJ=55102763
TS=2870762738,TJ=2870319059
TS=63866607,TJ=60441342
TS=2892066945,TJ=2891651350
TS=56539725,TJ=56116559
TS=2644867412,TJ=2644418400
TS=2924979192,TJ=2924546833
TS=3263571328,TJ=3263176211
TS=56554441,TJ=56163376
TS=2551213152,TJ=2550797906
TS=2347204603,TJ=2346503334
TS=2561909231,TJ=2561413012
TS=54502155,TJ=54123747
TS=2839175466,TJ=2838481081
TS=2947719587,TJ=2947300612
TS=2952862891,TJ=2952414033
TS=2915088012,TJ=2914682529
TS=2875123435,TJ=2874689133
TS=2937034995,TJ=2936654954
TS=54754909,TJ=54353519
TS=57751989,TJ=57355993
TS=2768410546,TJ=2768012372
TS=2838913566,TJ=2838505207
TS=58406097,TJ=58022097
TS=2805861734,TJ=2805431501
TS=57687879,TJ=57299879
TS=57707885,TJ=57335938
TS=2689403935,TJ=2689044138
TS=29853135,TJ=29477305
TS=3054752499,TJ=3054337055
TS=54934183,TJ=54560856
TS=57239804,TJ=56856157
TS=2601227802,TJ=2600593777
TS=2782258311,TJ=2781921507
TS=54795310,TJ=54395315
TS=54631747,TJ=54210652
TS=51967374,TJ=51572126
TS=2988452725,TJ=2988035109
TS=2538445690,TJ=2538021426
TS=2960077452,TJ=2959665018
TS=2996523286,TJ=2995788090
TS=56389474,TJ=55995033
TS=56069822,TJ=55631329
TS=58034056,TJ=57503221
TS=2615656594,TJ=2615222265
TS=28683382,TJ=28241182
TS=31754236,TJ=31323785
TS=54924054,TJ=54524387
TS=56300123,TJ=55914366
TS=54775818,TJ=54374696
TS=2552064747,TJ=2551645362
TS=56767090,TJ=56389539
TS=2594558662,TJ=2594060504
TS=2724878617,TJ=2724488697
TS=3112189311,TJ=3111769106
TS=2894802784,TJ=2894268099
TS=2945769242,TJ=2945332592
TS=2873813926,TJ=2873411661
TS=2947012462,TJ=2946569491
TS=2995273885,TJ=2994840281
TS=2943297772,TJ=2942874598
TS=2816681612,TJ=2815654739
TS=2890834129,TJ=2890437452
TS=3098249069,TJ=3097876489
TS=54551164,TJ=54166297
TS=2800175381,TJ=2799724213
TS=2939227682,TJ=2938750793
TS=2776666359,TJ=2776264386
TS=54234638,TJ=53849234
TS=2993385685,TJ=2992926471
TS=2882807980,TJ=2882379703
TS=2843699978,TJ=2843298887
TS=2878849971,TJ=2878352943
TS=2965832529,TJ=2965409737
TS=2906447414,TJ=2906011609
TS=2764522043,TJ=2763024090
TS=2820967454,TJ=2820502446
TS=2927096195,TJ=2926658087
TS=3060468157,TJ=3060059702
TS=2923225495,TJ=2922839766
TS=2795587455,TJ=2795195040
TS=52170214,TJ=51780060
TS=56041143,TJ=55655936
TS=2976468283,TJ=2976013800
TS=52363897,TJ=51945023
TS=2745182917,TJ=2744799135
TS=52822106,TJ=52440696
TS=3017731391,TJ=3017026965
TS=55510339,TJ=55123842
TS=2818148872,TJ=2817728529
TS=2751459688,TJ=2751072594
TS=2697021000,TJ=2696620368
TS=2879294154,TJ=2878843717
TS=2880229990,TJ=2879765610
TS=56230483,TJ=55833469
TS=2847621245,TJ=2847234958
TS=2796268086,TJ=2795794141
TS=2947508349,TJ=2947082023
TS=2901764040,TJ=2901325549
TS=54588370,TJ=54180100
TS=3079780042,TJ=3079352569
TS=2741547359,TJ=2741106097
TS=2835255842,TJ=2834845652
TS=57461625,TJ=57056735
TS=54700793,TJ=54327403
TS=2926559419,TJ=2926122269
TS=55802388,TJ=55419655
TS=2784004228,TJ=2783592640
TS=3038797564,TJ=3038402421
TS=56798059,TJ=56397080
TS=58388319,TJ=58003135
TS=2854242210,TJ=2853829676
TS=2694629172,TJ=2692185161
TS=53185711,TJ=52798392
TS=2896079346,TJ=2895672587
TS=2857261352,TJ=2856866401
TS=3068190841,TJ=3067790482
TS=2974708565,TJ=2973977353
TS=3047096647,TJ=3046682062
TS=2725936986,TJ=2725510559
TS=54038589,TJ=53625865
TS=2889224436,TJ=2888822701
TS=2726503430,TJ=2726101141
TS=52070593,TJ=51678791
TS=2852554748,TJ=2852156984
TS=54496246,TJ=54088134
TS=2693418843,TJ=2692973653
TS=56120122,TJ=55728884
TS=2642760673,TJ=2642310677
TS=2309605963,TJ=2309235039
TS=2320462979,TJ=2320091367
TS=2867353956,TJ=2866953847
TS=3122123342,TJ=3121701952
TS=1816506803,TJ=1816135631
TS=14883883,TJ=14527067
TS=2460817334,TJ=2460467305
TS=56035308,TJ=55636015
TS=2946725200,TJ=2946150398
TS=3212456821,TJ=3212008092
TS=54144577,TJ=53768876
TS=2792600273,TJ=2792187886
TS=54063922,TJ=53640034
TS=2956975730,TJ=2956554487
TS=2846237518,TJ=2845802226
TS=52837891,TJ=52434671
TS=56310914,TJ=55924936
TS=2552892659,TJ=2552494639
TS=55457203,TJ=55079425
TS=57140120,TJ=56762640
TS=57612724,TJ=56708224
TS=2940616480,TJ=2940227292
TS=51537053,TJ=51160015
TS=2811447691,TJ=2811011551
TS=2820459236,TJ=2820006513
TS=2869314215,TJ=2868916779
TS=2949391090,TJ=2948718249
TS=56479770,TJ=56107893
TS=2878176778,TJ=2877765528
TS=2921143282,TJ=2920750771
TS=3021809507,TJ=3021383381
TS=2710839473,TJ=2710411630
TS=2741105753,TJ=2740428420
TS=2991485483,TJ=2991070753
TS=57629683,TJ=57211995
TS=2988180424,TJ=2987763118
TS=2806798822,TJ=2806399176
TS=58518359,TJ=58138976
TS=2818051527,TJ=2817637040
TS=55932645,TJ=55558884
TS=2706782184,TJ=2706371719
TS=2888503261,TJ=2888035804
TS=56471301,TJ=56030080
TS=56025529,TJ=55632480
TS=2654151615,TJ=2653614484
TS=56328004,TJ=55947234
TS=56368893,TJ=55941946
TS=2783803465,TJ=2783376873
TS=55997984,TJ=55577840
TS=57773124,TJ=57372099
TS=2811958853,TJ=2811570804
TS=2929559564,TJ=2929062177
TS=2793188918,TJ=2792795688
TS=52273944,TJ=51893865
TS=58579553,TJ=58130377
TS=55308390,TJ=54923820
TS=55022261,TJ=54599156
TS=52337608,TJ=51962259
TS=2662547049,TJ=2660146249
TS=2657306738,TJ=2656896466
TS=2983194053,TJ=2982619021
TS=2829767445,TJ=2829320017
TS=28958710,TJ=28566082
TS=2858585836,TJ=2858194309
TS=54405180,TJ=54022828
TS=2719424366,TJ=2719056987
TS=3016764134,TJ=3016332485
TS=56935572,TJ=56540787
TS=2882659708,TJ=2882194641
TS=2884661719,TJ=2884258058
TS=2822331012,TJ=2821931963
TS=53466769,TJ=53081785
TS=2986157844,TJ=2985783277
TS=2937041886,TJ=2936629331
TS=2860712900,TJ=2860300778
TS=3099530874,TJ=3099127136
TS=2733091775,TJ=2732691542
TS=3052257576,TJ=3051850950
TS=2966559973,TJ=2966122055
TS=2746265190,TJ=2745862128
TS=2965953785,TJ=2965575805
TS=55312613,TJ=54896967
TS=2915527322,TJ=2914979860
TS=2933227773,TJ=2932826537
TS=2848268554,TJ=2847869024
TS=2999510021,TJ=2999122723
TS=53611206,TJ=53228295
TS=2724786605,TJ=2724371025
TS=53989665,TJ=53571015
TS=54965312,TJ=54544937
TS=57408896,TJ=57002267
TS=29908102,TJ=29469539
TS=2911233487,TJ=2910791588
TS=2854091477,TJ=2853617399
TS=2638009541,TJ=2637593017
TS=3074858056,TJ=3074466306
TS=54450535,TJ=54031822
TS=2848431225,TJ=2848021760
TS=55637699,TJ=55241305
TS=2877625061,TJ=2877244157
TS=2876659165,TJ=2875611307
TS=3001835330,TJ=3001254603
TS=58237540,TJ=57840115
TS=2840570128,TJ=2840098457
TS=54312748,TJ=53903249
TS=51162635,TJ=50770068
TS=3110762104,TJ=3110343631
TS=2413388292,TJ=2412918478
TS=3105174925,TJ=3104742635
TS=3063167034,TJ=3062756626
TS=58682920,TJ=58268222
TS=2774447287,TJ=2774040015
TS=2967274547,TJ=2966839782
TS=2921744066,TJ=2921314792
TS=2988217321,TJ=2987789992
TS=2799797696,TJ=2799345310
TS=3000873158,TJ=3000444145
TS=2907135787,TJ=2906691813
TS=2947717546,TJ=2947308192
TS=2779471398,TJ=2779033974
TS=56147333,TJ=55698755
TS=2898885784,TJ=2898480186
TS=29284226,TJ=28896935
TS=53637259,TJ=53247912
TS=2864597151,TJ=2864126101
TS=2932943269,TJ=2932497565
TS=56533549,TJ=56141433
TS=2971258486,TJ=2970862176
TS=56060425,TJ=55681605
TS=2830418388,TJ=2830015181
TS=2903070326,TJ=2902680595
TS=2774969228,TJ=2774602212
TS=55507336,TJ=55110120
TS=58205660,TJ=57830352
TS=53604733,TJ=53214513
TS=57885674,TJ=57491221
TS=2817689975,TJ=2817110166
TS=2826510951,TJ=2825948931
TS=2938078050,TJ=2937689847
TS=51712096,TJ=51333923
TS=3066799736,TJ=3065995568
TS=2870233732,TJ=2869822688
TS=2679435046,TJ=2679017283
TS=3074827242,TJ=3074394261
TS=54759037,TJ=54350229
TS=2848128053,TJ=2847746007
TS=2787053517,TJ=2786612184
TS=2347238665,TJ=2346641527
TS=2876764073,TJ=2876324870
TS=2965290993,TJ=2964902457
TS=2941223850,TJ=2940812136
TS=2885231355,TJ=2884810100
TS=54167862,TJ=53786413
TS=2890342097,TJ=2889908179
TS=3112365289,TJ=3111967460
TS=2687730458,TJ=2687293467
TS=58740775,TJ=58329480
TS=56614646,TJ=56221670
TS=3111790402,TJ=3111348662
TS=55778526,TJ=55368895
TS=2821512295,TJ=2821182291
TS=55019856,TJ=54617760
TS=2758084474,TJ=2757618421
TS=3009570224,TJ=3009250509
TS=2929962756,TJ=2929578510
